,SY,KW,AE,IR,JO,LB,OM,QA,SA,PS,BH,IQ,EG,TR
SY,147.024,210.401,193.758,165.949,122.948,126.2685,254.988,245.97050000000002,145.802,169.23,192.596,133.712,135.651,143.154
KW,182.874,4.7195,31.101,176.072,111.362,136.449,210.96699999999998,114.825,70.724,189.774,74.544,176.033,168.074,163.58249999999998
AE,222.556,17.816000000000003,12.0545,135.337,115.463,194.01299999999998,12.497,10.732,30.072,275.39,28.006,206.856,202.066,191.537
IR,162.49,138.176,164.144,35.843999999999994,141.265,152.847,137.4,220.665,169.845,175.061,162.9715,142.1225,164.76850000000002,132.083
JO,144.406,165.109,177.571,151.995,111.52600000000001,120.898,189.537,191.192,116.015,124.691,167.3105,138.366,136.734,116.833
LB,118.818,157.801,175.739,154.87349999999998,103.318,40.117000000000004,173.018,147.785,111.084,136.553,140.893,123.321,100.8115,102.906
OM,224.2655,200.014,22.444000000000003,121.172,189.537,177.146,4.81,18.155,223.4065,213.167,87.038,200.059,207.821,180.2255
QA,186.166,123.866,127.985,213.219,155.204,151.372,235.889,106.499,120.696,202.771,55.071,189.565,166.2235,163.886
SA,144.2075,144.199,54.512,163.65449999999998,130.30200000000002,107.5555,196.395,97.245,30.133499999999998,171.244,55.5105,149.044,122.678,127.0095
PS,144.6295,178.155,196.315,165.675,124.691,114.949,182.75599999999997,178.671,150.103,130.448,178.846,133.534,136.094,104.901
BH,171.469,106.819,20.321,161.773,151.895,134.36450000000002,52.128,28.539,40.3605,269.212,30.105,178.512,146.106,160.215
IQ,168.771,193.09199999999998,213.6015,158.1565,143.339,147.9565,212.856,221.5,159.2615,167.2235,189.947,85.495,164.336,80.301
EG,114.365,169.35,154.594,138.63549999999998,96.554,89.3315,207.821,170.34,106.271,136.094,133.8625,121.14750000000001,26.963,101.048
TR,137.68599999999998,183.605,176.164,130.606,113.197,107.717,178.748,169.5635,143.239,130.055,159.482,75.5955,125.30000000000001,21.841
