,AE,BH,IQ,IR,KW,LB,OM,PS,QA,SA,SY,TR
AE,12.2585,31.8825,202.66649999999998,140.7385,16.0595,191.4635,11.901,275.689,129.4995,30.2085,224.4665,189.234
BH,17.891,52.658500000000004,174.065,186.4735,115.0865,124.849,52.594,269.4435,28.2945,69.8295,173.97,157.70600000000002
IQ,216.318,194.004,91.509,165.905,180.97175,148.5965,218.533,165.493,253.84949999999998,168.704,167.993,78.878
IR,160.786,175.539,141.024,53.534,138.688,146.3755,139.455,167.578,216.164,181.9065,166.21,127.051
KW,31.008,65.39150000000001,173.50549999999998,186.5435,1.4565000000000001,128.601,212.372,191.65449999999998,120.04650000000001,103.8655,177.932,156.6855
LB,181.76999999999998,142.10250000000002,123.044,161.26850000000002,151.594,43.738,176.166,137.0725,147.93900000000002,120.39250000000001,116.842,99.399
OM,23.5,70.5965,187.74450000000002,101.26249999999999,146.62525,176.416,4.337,216.81650000000002,18.245,224.873,221.7955,181.34550000000002
PS,235.085,173.453,132.2715,178.288,184.027,107.77799999999999,181.625,130.2755,182.2855,153.431,140.66500000000002,105.493
QA,144.43200000000002,54.8915,188.56799999999998,212.381,42.010000000000005,148.342,239.873,203.5695,106.5895,121.5875,189.1925,160.682
SA,52.114,73.4855,145.292,157.5555,137.215,104.2745,196.2705,170.921,101.8435,33.138000000000005,125.009,115.458
SY,201.07799999999997,196.59199999999998,160.685,166.21,222.32350000000002,129.271,260.42949999999996,162.9105,194.077,173.478,145.05349999999999,143.1365
TR,158.207,160.80599999999998,65.892,122.977,183.19299999999998,106.349,179.63400000000001,127.64949999999999,163.6975,160.0165,136.04500000000002,18.985
