,AE,BH,IQ,IR,KW,LB,OM,PS,QA,SA,SY,TR
AE,0.56836,26.65725,177.670691,45.11156,15.531618,170.34411,9.65392,215.01883,10.549617,25.357795,178.458015,158.96064
BH,10.16549,1.922265,147.758985,53.33027,33.902867,103.53543,18.69266,175.112945,14.20773,23.77231,131.125792,116.874505
IQ,190.68373,169.155085,3.053569,108.84551,146.577724,115.63727,200.588334,138.739635,202.949513,113.368042,130.81476,61.651515
IR,117.088916,65.45162,70.029326,0.747245,76.668687,127.007395,121.79112,155.66096,200.044374,157.377305,132.255215,79.39393
KW,16.059415,31.57481,149.922846,63.861517,0.493446,97.78356,195.061111,171.17468,12.298838,31.60149,114.543959,122.207955
LB,136.907917,117.911955,113.359127,119.60087,99.175273,1.01311,169.909055,82.156375,105.16535,99.54665,68.478584,74.023696
OM,10.10495,37.69727,173.364515,41.887585,24.516508,136.656415,0.639123,203.930505,17.984507,188.878215,164.225375,147.84063
PS,166.125875,153.211855,118.974744,124.16093,150.409142,103.97386,171.884101,19.24914,157.098131,145.0599,114.892209,85.66571
QA,10.33589,20.384305,166.834875,190.919458,25.110142,134.67818,229.532239,185.65506,0.365227,101.80604,153.92575,139.24186
SA,31.08041,32.799095,127.566362,97.654715,45.436416,74.004965,174.14225,150.56568,90.742534,20.325695,97.53477,91.93468
SY,198.53799,177.166315,145.784094,132.255215,170.891552,127.22886,254.247855,161.567585,193.496406,158.702955,144.078958,123.918585
TR,133.66407,110.6467,31.419654,39.283895,133.451161,78.009995,156.09728,114.666745,155.663278,124.216295,102.118583,6.309889
