,AE,BH,IQ,IR,KW,LB,OM,PS,QA,SA,SY,TR
AE,10.577356863691811,29.79060077064026,187.37352513730707,67.00090728667813,29.373250509145628,197.81344935261785,220.02119962079473,228.5828124237135,261.20297932627307,30.187443243641248,313.88941791361265,267.31910100046593
BH,13.072553152474292,30.93580171494158,168.78164921645092,210.20633544968555,112.81197483668433,112.19636579609215,21.53582162355611,181.55223820292102,15.295809191840911,27.235043507504365,172.38225652348507,204.413648953027
IQ,233.56047742314863,180.68473735622047,50.95122485571623,150.53332549502295,192.52551467964898,149.80493042465645,206.80896751777794,142.1031911753781,273.5551629391738,167.82293239030383,198.70300603951915,144.80235041808396
IR,183.96662057940907,169.08407770079117,138.19238774186897,17.7031526374539,109.49263345903265,142.26615208558326,141.54590511069136,182.77451576472413,236.41649476230128,182.78233027309273,148.1932952281221,123.24412479900636
KW,81.42963891923344,34.39815306544344,192.92588645245962,225.39294811028986,0.6790630754084188,144.6834478978417,214.66936443137757,213.73405707482783,12.84168761481013,44.201641853382654,128.48412719993013,169.03244785844998
LB,164.17773063872636,136.5317498083443,131.60677980017135,141.08744140267117,215.8113205249743,16.091376081284096,180.25539581101168,139.7147441004359,147.73953416100983,102.35641358952583,110.71180076535862,102.30581014092249
OM,27.66897084903419,155.75774194510635,190.08534986384734,75.51798856616453,93.68708912554487,194.16353480677992,4.722095969187816,258.9000784273596,18.163404416914496,224.74648408237468,224.45202910434762,219.11198411257325
PS,290.037947416111,167.66676636049596,139.16268675927262,176.0915587470317,169.32996606601404,115.44574523964982,182.10372718800448,130.29829602448086,170.92699159314014,148.2839659920806,128.5905202032674,165.04243163508997
QA,127.72936328846566,28.176484954694395,265.04646153680545,231.2972343794621,42.885011789410456,150.1511561809103,233.96033436061907,195.67062354415413,110.42033518636399,115.94032562949135,165.54940662108385,159.72824776590753
SA,50.81103330042987,59.239104558128794,144.30368122288036,223.8740456716944,139.9103228616326,103.80759460277736,192.1236191652206,172.32321297179783,95.36858591020669,30.170829967210203,128.4122583514323,169.18308552772086
SY,209.10736686787612,186.34957782413952,164.65789208709745,169.0,208.7068027539957,139.09908776904422,262.37500403819905,163.66487456780675,193.82822854816914,167.19142979079484,146.08612774717807,174.71054654793647
TR,162.11294800946712,131.40221482018325,67.59623962916102,139.28752290517184,145.6046159782294,84.23172110058172,183.4856299786901,129.51202830601483,169.61799862590215,168.9283843243582,116.78423331771629,123.79443583062049
