,AE,BH,IQ,IR,KW,LB,OM,PS,QA,SA,SY,TR
AE,0.576705,26.65725,177.670691,45.11156,15.532375,170.34411,9.817945,224.851655,10.592935,29.950225,181.34607,160.578015
BH,10.16549,2.00162,155.232031,120.9957,33.902867,117.250205,18.756375,181.913535,15.04975,23.827845,135.51798,131.86097
IQ,190.68373,169.155085,3.153705,108.84551,156.458065,117.59221,206.323955,145.80214,203.611491,116.376625,130.81476,66.858265
IR,128.268417,65.879635,70.960142,0.747245,78.293008,128.037785,127.108752,162.045115,200.82762,163.400295,132.255215,86.32817
KW,16.1841,31.57481,149.922846,64.290829,0.569266,99.042335,195.061111,175.90784,12.325244,39.44976,116.673485,125.04097
LB,144.461,117.911955,113.359127,123.25099,107.706715,4.65665,171.448415,86.304605,108.861442,102.725875,68.478584,75.50919
OM,10.15348,37.69727,173.364515,41.887585,24.516508,147.54532,0.639123,210.80291,18.020859,188.878215,166.448166,157.867635
PS,168.009105,153.211855,124.227097,125.000955,158.017007,103.99911,171.884101,19.87032,157.84106,151.99217,114.892209,88.63162
QA,10.441125,20.384305,173.43025,192.427709,25.126447,135.651455,232.637765,189.155655,0.515183,101.80604,154.555834,147.253795
SA,31.77359,32.799095,127.566362,97.654715,45.497709,74.004965,179.419735,160.99333,90.742534,24.86116,97.53477,92.71802
SY,198.57258,190.447695,145.784094,100.0,174.458291,127.31067,254.970595,169.022485,193.496406,173.07615,144.078958,125.17259
TR,133.781045,112.53602,31.419654,39.57616,133.469591,80.45584,156.09728,122.119245,160.462179,126.96133,104.351083,6.309889
