,SY,KW,AE,IR,JO,LB,OM,QA,SA,PS,BH,IQ,EG,TR
SY,147.024,196.55,208.18725,164.227,133.70475,122.53275,239.6705,211.2885,145.22899999999998,156.92849999999999,182.0275,151.2155,125.01050000000001,140.42
KW,196.55,4.7195,24.4585,157.124,138.2355,147.125,205.4905,119.35,107.485625,183.9645,90.6815,184.5625,168.712,173.581
AE,208.18725,24.4585,12.055,149.7465,146.53525000000002,184.909,17.44125,69.36025000000001,42.289,235.85199999999998,24.1635,210.269,178.33325000000002,183.79325
IR,164.227,157.124,149.7465,35.843999999999994,146.63,153.86025,129.286,216.935,166.78025,170.368,162.37225,150.1395,151.702,131.34199999999998
JO,133.70475,138.2355,146.53525000000002,146.63,111.52600000000001,112.108,189.537,173.19650000000001,123.21050000000001,124.691,159.60275000000001,140.85250000000002,116.644,115.01474999999999
LB,122.53275,147.125,184.909,153.86025,112.108,40.1265,175.07999999999998,149.578,109.39975000000001,125.7495,137.62875000000003,135.63875000000002,95.0715,105.2485
OM,239.6705,205.4905,17.44125,129.286,189.537,175.07999999999998,4.81,127.02250000000001,210.00825,197.9615,69.583,206.45749999999998,207.821,179.5005
QA,211.2885,119.35,69.36025000000001,216.935,173.19650000000001,149.578,127.02250000000001,106.50999999999999,109.0025,190.7215,41.80525,205.54475,168.2435,166.68925
SA,145.22899999999998,107.485625,42.289,166.78025,123.21050000000001,109.39975000000001,210.00825,109.0025,30.137,160.749,48.028999999999996,154.15275000000003,114.69024999999999,135.052
PS,156.92849999999999,183.9645,235.85199999999998,170.368,124.691,125.7495,197.9615,190.7215,160.749,130.448,224.029,150.37875,136.094,117.47800000000001
BH,182.0275,90.6815,24.1635,162.37225,159.60275000000001,137.62875000000003,69.583,41.80525,48.028999999999996,224.029,30.105,184.2295,139.98425,159.85399999999998
IQ,151.2155,184.5625,210.269,150.1395,140.85250000000002,135.63875000000002,206.45749999999998,205.54475,154.15275000000003,150.37875,184.2295,85.495,142.74175000000002,77.95325
EG,125.01050000000001,168.712,178.33325000000002,151.702,116.644,95.0715,207.821,168.2435,114.69024999999999,136.094,139.98425,142.74175000000002,26.963,113.17525
TR,140.42,173.581,183.79325,131.34199999999998,115.01474999999999,105.2485,179.5005,166.68925,135.052,117.47800000000001,159.85399999999998,77.95325,113.17525,21.8325
