,SY,KW,AE,IR,JO,LB,OM,QA,SA,PS,BH,IQ,EG,TR
SY,130.759167,135.342502,156.63676049999998,95.7532,108.4508685,76.9238845,208.209911,165.10232,104.2992185,138.229897,131.30494399999998,87.3008865,96.1980575,111.6786765
KW,135.342502,0.48388,15.7182695,70.047758,42.5435545,96.8036195,109.78880950000001,17.912467,30.607577499999998,154.2042695,28.4308775,146.82507199999998,107.821765,126.8829955
AE,156.63676049999998,15.7182695,0.5282,79.1628175,38.2568835,148.56067000000002,8.8801515,9.732391,19.231673,185.165815,10.733062499999999,107.86759800000002,132.8016375,146.27415
IR,95.7532,70.047758,79.1628175,0.720675,124.317187,117.75492,39.0665125,169.40666299999998,97.79717,139.7471575,41.337905,66.9668475,114.83122650000001,51.27069
JO,108.4508685,42.5435545,38.2568835,124.317187,0.916625,88.7599915,119.599125,79.5707135,75.5808545,104.425083,109.58361,96.2537115,96.7460655,93.2174685
LB,76.9238845,96.8036195,148.56067000000002,117.75492,88.7599915,0.95594,147.48289699999998,119.486624,80.84850349999999,93.0651175,92.131415,114.16763850000001,71.688485,75.83771300000001
OM,208.209911,109.78880950000001,8.8801515,39.0665125,119.599125,147.48289699999998,0.639123,13.182292499999999,180.05292,183.2706155,16.781131000000002,177.4603045,183.991605,151.9079575
QA,165.10232,17.912467,9.732391,169.40666299999998,79.5707135,119.486624,13.182292499999999,0.352481,66.5387295,168.18085250000001,11.0770035,176.3826525,144.261541,143.6280635
SA,104.2992185,30.607577499999998,19.231673,97.79717,75.5808545,80.84850349999999,180.05292,66.5387295,15.557333,136.8902985,18.280965000000002,80.98391050000001,84.135823,102.7040915
PS,138.229897,154.2042695,185.165815,139.7471575,104.425083,93.0651175,183.2706155,168.18085250000001,136.8902985,19.228855,160.52417,126.229565,120.43989,99.25786249999999
BH,131.30494399999998,28.4308775,10.733062499999999,41.337905,109.58361,92.131415,16.781131000000002,11.0770035,18.280965000000002,160.52417,1.922265,122.89895999999999,95.3635,113.7606025
IQ,87.3008865,146.82507199999998,107.86759800000002,66.9668475,96.2537115,114.16763850000001,177.4603045,176.3826525,80.98391050000001,126.229565,122.89895999999999,1.31869,112.9999835,44.7527825
EG,96.1980575,107.821765,132.8016375,114.83122650000001,96.7460655,71.688485,183.991605,144.261541,84.135823,120.43989,95.3635,112.9999835,20.73107,87.491345
TR,111.6786765,126.8829955,146.27415,51.27069,93.2174685,75.83771300000001,151.9079575,143.6280635,102.7040915,99.25786249999999,113.7606025,44.7527825,87.491345,5.50625
